623994899,10109,121.4595,31.1953,12,90,2007-11-01 10:07:52,1,,
623997326,10109,121.4576,31.195,18,112,2007-11-01 10:08:53,1,,
623997770,10109,121.4573,31.1948,0,112,2007-11-01 10:09:05,0,,
624001491,10109,121.4583,31.1946,12,22,2007-11-01 10:10:38,0,,
624003614,10109,121.4596,31.195,26,67,2007-11-01 10:11:29,1,,
624006045,10109,121.4601,31.194,0,67,2007-11-01 10:12:30,1,,
624008475,10109,121.4603,31.194,8,45,2007-11-01 10:13:31,1,,
624010874,10109,121.4646,31.1961,4,22,2007-11-01 10:14:32,1,,
624013303,10109,121.4713,31.1988,50,22,2007-11-01 10:15:33,1,,
624015652,10109,121.472,31.2026,0,0,2007-11-01 10:16:34,1,,
624018010,10109,121.472,31.2026,0,0,2007-11-01 10:17:35,1,,
624020378,10109,121.472,31.2026,0,0,2007-11-01 10:18:36,1,,
624020502,10109,121.472,31.2026,0,0,2007-11-01 10:18:39,0,,
624025235,10109,121.472,31.2026,0,0,2007-11-01 10:20:40,0,,
624027479,10109,121.472,31.2026,0,0,2007-11-01 10:21:37,1,,
624029901,10109,121.472,31.2026,0,0,2007-11-01 10:22:38,1,,
624032342,10109,121.472,31.2026,0,0,2007-11-01 10:23:39,1,,
624034754,10109,121.472,31.2026,0,0,2007-11-01 10:24:40,1,,
624036524,10109,121.472,31.2026,0,0,2007-11-01 10:25:26,0,,
624038894,10109,121.472,31.2026,0,0,2007-11-01 10:26:27,0,,
624041397,10109,121.472,31.2026,0,0,2007-11-01 10:27:28,0,,
624043815,10109,121.472,31.2026,0,0,2007-11-01 10:28:29,0,,
624046253,10109,121.472,31.2026,0,0,2007-11-01 10:29:30,0,,
624046609,10109,121.472,31.2026,0,0,2007-11-01 10:29:39,1,,
624049092,10109,121.4848,31.2035,34,135,2007-11-01 10:30:40,1,,
624051482,10109,121.479,31.2013,50,135,2007-11-01 10:31:42,1,,
624053852,10109,121.4728,31.2,22,157,2007-11-01 10:32:43,1,,
624056253,10109,121.4708,31.2053,32,0,2007-11-01 10:33:44,1,,
624058630,10109,121.4701,31.2068,0,0,2007-11-01 10:34:44,1,,
624060978,10109,121.4701,31.2068,0,0,2007-11-01 10:35:45,1,,
624065675,10109,121.467,31.2203,20,0,2007-11-01 10:37:48,1,,
624068698,10109,121.467,31.2233,28,0,2007-11-01 10:38:49,1,,
624071162,10109,121.4636,31.2271,58,157,2007-11-01 10:39:50,1,,
624072549,10109,121.4623,31.2333,44,0,2007-11-01 10:40:50,1,,
624074695,10109,121.4611,31.2378,24,157,2007-11-01 10:41:52,1,,
624077039,10109,121.461,31.2383,6,157,2007-11-01 10:42:53,1,,
624079405,10109,121.4595,31.2358,0,112,2007-11-01 10:43:54,1,,
624081826,10109,121.455,31.2338,16,135,2007-11-01 10:44:55,1,,
624084597,10109,121.4511,31.2321,42,135,2007-11-01 10:45:55,1,,
624086590,10109,121.4455,31.2303,40,112,2007-11-01 10:46:57,1,,
624086949,10109,121.4446,31.23,22,112,2007-11-01 10:47:05,0,,
624089286,10109,121.4443,31.2298,2,112,2007-11-01 10:48:05,0,,
624090881,10109,121.4431,31.2291,30,112,2007-11-01 10:48:45,0,,
624092125,10109,121.4398,31.2278,16,157,2007-11-01 10:49:16,0,,
624093460,10109,121.4393,31.2286,18,157,2007-11-01 10:49:50,1,,
624095804,10109,121.438,31.2295,0,135,2007-11-01 10:50:50,1,,
624100853,10109,121.4305,31.23,0,157,2007-11-01 10:52:53,1,,
624103322,10109,121.4271,31.2338,34,157,2007-11-01 10:53:54,1,,
624105755,10109,121.4263,31.2348,22,157,2007-11-01 10:54:55,1,,
624108161,10109,121.4223,31.2375,64,157,2007-11-01 10:55:54,1,,
624110581,10109,121.419,31.24,32,157,2007-11-01 10:56:56,1,,
624111315,10109,121.4181,31.241,10,0,2007-11-01 10:57:14,0,,
624113629,10109,121.4193,31.2416,38,22,2007-11-01 10:58:12,0,,
624114277,10109,121.4205,31.2423,0,22,2007-11-01 10:58:28,0,,
624115401,10109,121.4206,31.2423,20,112,2007-11-01 10:58:56,1,,
624117843,10109,121.4183,31.2411,0,112,2007-11-01 10:59:56,1,,
624122922,10109,121.4193,31.2395,24,67,2007-11-01 11:01:58,1,,
624125416,10109,121.4246,31.2353,12,67,2007-11-01 11:02:59,1,,
624130459,10109,121.423,31.2268,52,90,2007-11-01 11:05:01,1,,
624132946,10109,121.423,31.2263,0,90,2007-11-01 11:06:02,1,,
624137936,10109,121.4258,31.222,0,90,2007-11-01 11:08:04,1,,
624140276,10109,121.427,31.2186,28,90,2007-11-01 11:08:59,0,,
624140905,10109,121.4271,31.2181,0,90,2007-11-01 11:09:14,0,,
624142598,10109,121.4275,31.217,36,90,2007-11-01 11:09:56,0,,
624143473,10109,121.4278,31.2165,6,90,2007-11-01 11:10:18,0,,
624144826,10109,121.4276,31.2158,18,135,2007-11-01 11:10:52,0,,
624145694,10109,121.4266,31.2158,24,135,2007-11-01 11:11:13,0,,
624146374,10109,121.4253,31.214,42,90,2007-11-01 11:11:29,0,,
624148870,10109,121.4256,31.2126,14,90,2007-11-01 11:12:31,0,,
624149506,10109,121.4245,31.2121,48,112,2007-11-01 11:12:47,0,,
624150190,10109,121.4216,31.2118,72,135,2007-11-01 11:13:02,0,,
624150812,10109,121.4185,31.2113,72,135,2007-11-01 11:13:18,0,,
624151446,10109,121.4158,31.211,0,135,2007-11-01 11:13:34,0,,
624153910,10109,121.4158,31.211,0,135,2007-11-01 11:14:35,0,,
624156459,10109,121.4193,31.2088,32,90,2007-11-01 11:15:39,0,,
624157119,10109,121.4191,31.2078,20,90,2007-11-01 11:15:56,0,,
624158800,10109,121.419,31.2068,34,90,2007-11-01 11:16:38,0,,
624160055,10109,121.418,31.2046,26,90,2007-11-01 11:17:09,0,,
624160760,10109,121.4176,31.2035,20,112,2007-11-01 11:17:28,0,,
624162427,10109,121.4155,31.2036,12,135,2007-11-01 11:18:09,0,,
